cluster_id,firing_rate,presence_ratio,isi_viol,num_viol,amplitude_cutoff,isolation_distance,contam_rate,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
74,2.942431929837507,0.99,0.0,0.0,0.0018216948249892356,195.3796390551568,0.0,3.750135439540791e-12,12.41041458216075,0.9878048780487805,0.0001025220422390814,0.40529098360141663,2.18,13.84,complete_session,complete_session,44,7.909028792535103,0.7279731993299831,0.1922948073701842,0.1995169730310772,1.0281669452473483,-0.0719969169887128,416.3799623296859,90.0,3.0217755443886105,0.3662758235622546
75,3.8348339386042296,0.99,0.19042122188183425,19.0,0.004017478500931079,97.09481023276068,1.7893384523416118,0.0008705549307174092,6.997831731304672,0.9862258953168044,0.00030744004919040785,0.12215864906753388,2.76,16.73,complete_session,complete_session,45,4.013178804876769,0.6318257956448912,0.1922948073701842,0.3026117631535718,0.7073973744988846,-0.0837223300390534,258.6482241902753,75.0,1.4651032942490223,0.4578447794528201
76,3.2658674788706645,0.99,1.0,41.0,0.5,75.66726400580991,10.18714943818541,0.0011623303941189023,3.2318186092447125,0.9401294498381877,0.0004424477571302158,0.10822155211930691,4.28,45.51,complete_session,complete_session,45,2.2022137151945773,0.6043551088777218,0.2609715242881072,0.3641889523764761,0.3437545990372072,-0.0518022599240732,142.47260548549707,135.0,1.0465023530350164,0.183137911781128
77,2.2426031843652217,0.99,0.30901943559092704,9.0,0.0029167619440365147,71.86432571908969,1.227007821456473,0.00318584142760034,5.124873752445453,0.8805704099821747,0.001494615985597337,0.04367236788953644,1.51,18.32,complete_session,complete_session,46,3.84797536778236,0.6730318257956448,0.2060301507537688,0.3106613974878115,0.6234454118752513,-0.0778922978783816,255.6829876866218,90.0,0.2747068676716921,0.4578447794528194
78,18.864739472227587,0.99,0.03726395156441964,107.0,0.4871611626269847,133.227263817607,8.19539755807899,0.0003013745207494244,5.3489455902889445,0.9966666666666667,0.001887504718761797,0.08912223391087801,2.27,21.11,complete_session,complete_session,46,2.42369962824386,0.233500837520938,0.1510887772194304,0.2435023674188745,0.7186421499555861,-0.0748266555972676,162.80427271006062,210.0,0.3052298529685467,-0.5886575735821973
79,1.8346979993870043,0.99,0.0368018077972313,1.0,0.0031628775100217615,92.34518120198932,0.15025816661379673,0.00011201033315080121,6.8459721987111255,0.9877300613496932,0.0002371996882518383,0.15196808230768755,2.81,22.88,complete_session,complete_session,48,3.495893524321339,0.7279731993299832,0.233500837520938,0.2930543433913162,0.4777476199539341,-0.0413683501362892,221.28244975184373,90.0,0.274706867671691,0.3662758235622561
80,5.276507414267587,0.99,1.0,99.0,0.5,,35.99910185166681,0.0,,,,0.16828460927111677,27.57,23.91,complete_session,complete_session,48,1.4537137523795254,0.8103852596314908,0.3845896147403685,2.153292640735518,0.1768974032986694,-0.0254557654863964,96.32850515431372,225.0,0.8546435883119297,0.7194703677115738
81,2.3205078226979716,0.99,1.0,22.0,0.4728237385898762,62.31465251622144,6.8996376303829905,0.006788851752680602,3.076634329256686,0.7049180327868853,0.004278292757461546,0.05053150630085774,3.19,31.59,complete_session,complete_session,50,2.327355816250329,0.6455611390284757,0.2472361809045226,0.3489240109467821,0.3093459097390195,-0.0435844552260462,145.0957216288709,135.0,0.4578447794528202,0.915689558905639
82,0.06433697660064161,0.76,0.0,0.0,0.5,46.520943407907076,0.0,0.0026982518017081895,2.392360139799694,0.0,0.00010007004903432403,-0.0119728989854534,,0.0,complete_session,complete_session,48,1.7219002056516175,0.6180904522613064,0.2609715242881072,0.3472500557780504,0.3116119187290805,-0.0457672104495689,139.431077606824,165.0,0.6017388529951351,0.4578447794528197
83,3.476822735479571,0.99,1.0,62.0,0.026071182629174253,67.54404152465038,10.783021360591443,0.008871579210695557,5.1793216960026704,0.8072727272727273,0.00572407883461868,0.037409164930313266,2.89,26.3,complete_session,complete_session,51,2.999690170841903,0.6180904522613065,0.2060301507537689,0.2959845622136771,0.5069071901272821,-0.0774964879569968,197.84794833364805,75.0,0.9156895589056404,0.0
84,1.2184635568448043,0.99,0.0,0.0,9.295349210169459e-05,223.78291991611695,0.303880368935218,1.430478565975824e-20,13.613180415353218,0.989501312335958,0.00010128633647320976,0.45647004399065716,1.25,9.44,complete_session,complete_session,52,6.822935809859599,0.6592964824120603,0.1785594639865997,0.2159553510328694,1.410900182487452,-0.101448142303856,518.4946389033877,105.0,1.0072585147962028,0.274706867671692
85,3.4089844268190306,0.99,1.0,111.0,0.5,68.10071776041035,20.64662176311388,0.00481794918954722,3.5655526243677746,0.9529529529529529,0.0015171890624461224,0.10783461873735863,3.51,35.96,complete_session,complete_session,54,2.088384834358552,0.5906197654941373,0.233500837520938,0.3371108405021156,0.3682241777670909,-0.0477698600153611,141.76809322662666,150.0,0.9156895589056396,0.5559543750498523
86,3.461504407717513,0.99,1.0,101.0,0.5,52.43912362125727,41.69941365806783,0.044279192190254286,1.9117952076791809,0.57847533632287,0.010048147372828135,0.050356305493931657,6.6,68.58,complete_session,complete_session,55,1.7316057517389785,1.0301507537688444,0.2472361809045226,0.3512118241503521,0.3115172625482814,-0.0352443623359303,130.21656186804853,225.0,0.7303714338890217,0.6409826912339474
